image_id,label
test_1000a,candy
test_1000b,tea
test_1000c,candy
test_1000d,cereal
test_1001a,cereal
test_1001b,chocolate
test_1001c,milk
test_1001d,honey
test_1002a,corn
test_1002b,soda
test_1002c,nuts
test_1002d,cereal
test_1003a,milk
test_1003b,water
test_1003c,beans
test_1003d,chocolate
test_1004a,cereal
test_1004b,fish
test_1004c,cereal
test_1004d,tomatosauce
test_1005a,tea
test_1005b,cereal
test_1005c,honey
test_1005d,candy
test_1006a,jam
test_1006b,jam
test_1006c,chips
test_1006d,fish
test_1007a,cereal
test_1007b,tea
test_1007c,fish
test_1007d,jam
test_1008a,milk
test_1008b,cereal
test_1008c,cake
test_1008d,coffee
test_1009a,water
test_1009b,vinegar
test_1009c,flour
test_1009d,honey
test_1010a,fish
test_1010b,nuts
test_1010c,water
test_1010d,fish
test_1011a,cereal
test_1011b,milk
test_1011c,cereal
test_1011d,pasta
test_1012a,candy
test_1012b,flour
test_1012c,candy
test_1012d,rice
test_1013a,candy
test_1013b,tea
test_1013c,jam
test_1013d,fish
test_1014a,tea
test_1014b,fish
test_1014c,water
test_1014d,corn
test_1015a,pasta
test_1015b,oil
test_1015c,rice
test_1015d,cereal
test_1016a,tea
test_1016b,cereal
test_1016c,tea
test_1016d,vinegar
test_1017a,tea
test_1017b,sugar
test_1017c,milk
test_1017d,candy
test_1018a,candy
test_1018b,honey
test_1018c,water
test_1018d,water
test_1019a,milk
test_1019b,water
test_1019c,cereal
test_1019d,coffee
test_1020a,water
test_1020b,cereal
test_1020c,oil
test_1020d,cereal
test_1021a,candy
test_1021b,water
test_1021c,cereal
test_1021d,cereal
test_1022a,oil
test_1022b,rice
test_1022c,candy
test_1022d,chips
test_1023a,candy
test_1023b,chocolate
test_1023c,sugar
test_1023d,water
test_1024a,rice
test_1024b,fish
test_1024c,candy
test_1024d,tea
test_1025a,candy
test_1025b,water
test_1025c,vinegar
test_1025d,pasta
test_1026a,tea
test_1026b,cereal
test_1026c,cereal
test_1026d,corn
test_1027a,rice
test_1027b,tea
test_1027c,cereal
test_1027d,honey
test_1028a,tea
test_1028b,tea
test_1028c,milk
test_1028d,milk
test_1029a,fish
test_1029b,water
test_1029c,fish
test_1029d,cake
test_1030a,pasta
test_1030b,chocolate
test_1030c,flour
test_1030d,jam
test_1031a,sugar
test_1031b,milk
test_1031c,honey
test_1031d,tea
test_1032a,water
test_1032b,tea
test_1032c,water
test_1032d,tea
test_1033a,tea
test_1033b,juice
test_1033c,chocolate
test_1033d,sugar
test_1034a,cake
test_1034b,tea
test_1034c,soda
test_1034d,tea
test_1035a,tea
test_1035b,juice
test_1035c,fish
test_1035d,soda
test_1036a,cereal
test_1036b,coffee
test_1036c,jam
test_1036d,tea
test_1037a,chocolate
test_1037b,water
test_1037c,juice
test_1037d,tea
test_1038a,fish
test_1038b,pasta
test_1038c,rice
test_1038d,beans
