image_id,label
test_1000a,candy
test_1000b,coffee
test_1000c,coffee
test_1000d,water
test_1001a,candy
test_1001b,coffee
test_1001c,cereal
test_1001d,coffee
test_1002a,coffee
test_1002b,cereal
test_1002c,coffee
test_1002d,candy
test_1003a,cereal
test_1003b,water
test_1003c,candy
test_1003d,cereal
test_1004a,candy
test_1004b,water
test_1004c,candy
test_1004d,candy
test_1005a,tea
test_1005b,coffee
test_1005c,coffee
test_1005d,candy
test_1006a,coffee
test_1006b,coffee
test_1006c,candy
test_1006d,coffee
test_1007a,cereal
test_1007b,cereal
test_1007c,coffee
test_1007d,coffee
test_1008a,candy
test_1008b,coffee
test_1008c,cereal
test_1008d,candy
test_1009a,water
test_1009b,coffee
test_1009c,water
test_1009d,candy
test_1010a,jam
test_1010b,tomatosauce
test_1010c,water
test_1010d,cereal
test_1011a,cereal
test_1011b,cereal
test_1011c,cereal
test_1011d,cereal
test_1012a,candy
test_1012b,cereal
test_1012c,coffee
test_1012d,coffee
test_1013a,candy
test_1013b,candy
test_1013c,candy
test_1013d,coffee
test_1014a,candy
test_1014b,coffee
test_1014c,cereal
test_1014d,coffee
test_1015a,cereal
test_1015b,coffee
test_1015c,candy
test_1015d,cereal
test_1016a,coffee
test_1016b,candy
test_1016c,cereal
test_1016d,coffee
test_1017a,coffee
test_1017b,water
test_1017c,cereal
test_1017d,candy
test_1018a,candy
test_1018b,coffee
test_1018c,water
test_1018d,water
test_1019a,candy
test_1019b,coffee
test_1019c,cereal
test_1019d,coffee
test_1020a,water
test_1020b,cereal
test_1020c,candy
test_1020d,cereal
test_1021a,coffee
test_1021b,candy
test_1021c,cereal
test_1021d,cereal
test_1022a,tomatosauce
test_1022b,coffee
test_1022c,candy
test_1022d,coffee
test_1023a,candy
test_1023b,coffee
test_1023c,coffee
test_1023d,water
test_1024a,coffee
test_1024b,coffee
test_1024c,coffee
test_1024d,coffee
test_1025a,candy
test_1025b,water
test_1025c,tea
test_1025d,coffee
test_1026a,cereal
test_1026b,candy
test_1026c,cereal
test_1026d,coffee
test_1027a,coffee
test_1027b,cereal
test_1027c,candy
test_1027d,candy
test_1028a,coffee
test_1028b,coffee
test_1028c,candy
test_1028d,cereal
test_1029a,cereal
test_1029b,water
test_1029c,cereal
test_1029d,candy
test_1030a,coffee
test_1030b,cereal
test_1030c,jam
test_1030d,coffee
test_1031a,cereal
test_1031b,cereal
test_1031c,coffee
test_1031d,cereal
test_1032a,water
test_1032b,coffee
test_1032c,cereal
test_1032d,candy
test_1033a,cereal
test_1033b,candy
test_1033c,water
test_1033d,cereal
test_1034a,candy
test_1034b,jam
test_1034c,candy
test_1034d,coffee
test_1035a,coffee
test_1035b,coffee
test_1035c,coffee
test_1035d,candy
test_1036a,candy
test_1036b,coffee
test_1036c,coffee
test_1036d,cereal
test_1037a,jam
test_1037b,water
test_1037c,coffee
test_1037d,water
test_1038a,coffee
test_1038b,candy
test_1038c,jam
test_1038d,candy
test_1039a,coffee
test_1039b,candy
test_1039c,coffee
test_1039d,candy
test_1040a,coffee
test_1040b,cereal
test_1040c,cereal
test_1040d,coffee
test_1041a,coffee
test_1041b,water
test_1041c,coffee
test_1041d,coffee
test_1042a,candy
test_1042b,coffee
test_1042c,water
test_1042d,water
test_1043a,candy
test_1043b,water
test_1043c,cereal
test_1043d,tomatosauce
test_1044a,water
test_1044b,coffee
test_1044c,candy
test_1044d,coffee
test_1045a,cereal
test_1045b,coffee
test_1045c,cereal
test_1045d,coffee
test_1046a,coffee
test_1046b,coffee
test_1046c,coffee
test_1046d,tomatosauce
test_1047a,coffee
test_1047b,water
test_1047c,coffee
test_1047d,cereal
test_1048a,water
test_1048b,candy
test_1048c,cereal
test_1048d,candy
test_1049a,cereal
test_1049b,candy
test_1049c,jam
test_1049d,coffee
test_1050a,water
test_1050b,candy
test_1050c,jam
test_1050d,coffee
test_1051a,coffee
test_1051b,candy
test_1051c,cereal
test_1051d,coffee
test_1052a,coffee
test_1052b,candy
test_1052c,cereal
test_1052d,cereal
test_1053a,water
test_1053b,cereal
test_1053c,water
test_1053d,coffee
test_1054a,coffee
test_1054b,cereal
test_1054c,cereal
test_1054d,water
test_1055a,jam
test_1055b,cereal
test_1055c,cereal
test_1055d,candy
test_1056a,coffee
test_1056b,jam
test_1056c,cereal
test_1056d,coffee
test_1057a,water
test_1057b,candy
test_1057c,candy
test_1057d,cereal
test_1058a,candy
test_1058b,candy
test_1058c,cereal
test_1058d,coffee
test_1059a,water
test_1059b,candy
test_1059c,coffee
test_1059d,cereal
test_1060a,water
test_1060b,coffee
test_1060c,candy
test_1060d,coffee
test_1061a,water
test_1061b,candy
test_1061c,coffee
test_1061d,water
test_1062a,coffee
test_1062b,jam
test_1062c,water
test_1062d,coffee
test_1063a,coffee
test_1063b,candy
test_1063c,cereal
test_1063d,coffee
test_1064a,cereal
test_1064b,water
test_1064c,cereal
test_1064d,coffee
test_1065a,water
test_1065b,coffee
test_1065c,coffee
test_1065d,cereal
test_1066a,coffee
test_1066b,cereal
test_1066c,tomatosauce
test_1066d,coffee
test_1067a,cereal
test_1067b,cereal
test_1067c,coffee
test_1067d,cereal
test_1068a,cereal
test_1068b,coffee
test_1068c,coffee
test_1068d,candy
test_1069a,candy
test_1069b,water
test_1069c,candy
test_1069d,coffee
test_1070a,coffee
test_1070b,coffee
test_1070c,water
test_1070d,cereal
test_1071a,candy
test_1071b,candy
test_1071c,coffee
test_1071d,cereal
test_1072a,coffee
test_1072b,coffee
test_1072c,cereal
test_1072d,candy
test_1073a,jam
test_1073b,coffee
test_1073c,candy
test_1073d,water
test_1074a,coffee
test_1074b,water
test_1074c,water
test_1074d,coffee
test_1075a,coffee
test_1075b,coffee
test_1075c,coffee
test_1075d,coffee
test_1076a,coffee
test_1076b,coffee
test_1076c,cereal
test_1076d,cereal
test_1077a,candy
test_1077b,cereal
test_1077c,coffee
test_1077d,coffee
test_1078a,tomatosauce
test_1078b,coffee
test_1078c,cereal
test_1078d,candy
test_1079a,coffee
test_1079b,candy
test_1079c,cereal
test_1079d,cereal
test_1080a,coffee
test_1080b,water
test_1080c,coffee
test_1080d,coffee
test_1081a,water
test_1081b,cereal
test_1081c,candy
test_1081d,cereal
test_1082a,water
test_1082b,coffee
test_1082c,coffee
test_1082d,coffee
test_1083a,candy
test_1083b,coffee
test_1083c,candy
test_1083d,cereal
test_1084a,coffee
test_1084b,water
test_1084c,cereal
test_1084d,candy
test_1085a,water
test_1085b,coffee
test_1085c,coffee
test_1085d,coffee
test_1086a,coffee
test_1086b,cereal
test_1086c,candy
test_1086d,tomatosauce
test_1087a,water
test_1087b,water
test_1087c,water
test_1087d,coffee
test_1088a,coffee
